Column1,Job Title,Description,url
0,Software Developer,"We are looking for a Full Stack Javascript Developer. Modern tech stack ReactJS, NodeJS, MongoDB deploying using CI/CD Gitlab.",https://www.seek.co.nz/software-developer-jobs
1,Web Developer,"Be part of an exciting, high-growth kiwi software solution marking its mark globally!",https://www.seek.co.nz/software-developer-jobs
2,Junior/Graduate Software Developer,Exciting junior/graduate development role with mentorship!,https://www.seek.co.nz/software-developer-jobs
3,Software Developer,The primary focus of this role is to develop a wholly new customer experience that works in with our wider product growth…this is a meaty project!!,https://www.seek.co.nz/software-developer-jobs
4,Software Developer,"Be part of an exciting, high-growth kiwi software solution marking its mark globally!",https://www.seek.co.nz/software-developer-jobs
5,Software Developer,Rubber Monkey is looking for a confident and enthusiastic Developer to join our small development team.,https://www.seek.co.nz/software-developer-jobs
6,Software Developer,"Supportive, collaborative team based in the heart of the capital city's CBD.",https://www.seek.co.nz/software-developer-jobs
7,Web Developer,"Website developer role with a great team culture, nice office, flexibility in hours, and an interesting range of work that we love.",https://www.seek.co.nz/software-developer-jobs
8,Software Developer,"Enjoy working for a well-established company with career progression, working on cutting edge technology - an employer of choice!",https://www.seek.co.nz/software-developer-jobs
9,Software Developer (Golang &amp; Typescript) - NZ Remote,NZ remote available for Golang and C++ developers. Read on!,https://www.seek.co.nz/software-developer-jobs
10,Software Developer,We bring the possibilities of our customers digital worlds to life. Are you ready to help us push the boundaries?,https://www.seek.co.nz/software-developer-jobs
11,Web Developer,"We are looking for a passionate and talented Web Developer to join our progressive, well-established tech product lab.",https://www.seek.co.nz/software-developer-jobs
12,Full-stack Developer,For a long term career sustainability and an opportunity to work with highly established companies! Opportunity to work the latest technology stack.,https://www.seek.co.nz/software-developer-jobs
13,.Net Software Engineer roles,An award-winning and established International Software business that is growing our team in New Zealand and Australia. Join now and become more!,https://www.seek.co.nz/software-developer-jobs
14,Embedded Software Developer,We have an opportunity for a Software Developer to work in sunny Tauranga.,https://www.seek.co.nz/software-developer-jobs
15,Software Developer,The WSP Software Development Team are seeking a talented Developer to join us in Christchurch,https://www.seek.co.nz/software-developer-jobs
16,Intermediate Developer,We have a fantastic opportunity for a motivated and high performing individual to join our IT team as an Intermediate Developer,https://www.seek.co.nz/software-developer-jobs
17,Software Engineer,"Be involved in the development, delivery and maintenance of Aotearoa New Zealand’s most important systems and business technology solutions!",https://www.seek.co.nz/software-developer-jobs
18,Front End / Back End / Full Stack Development Jobs,The Creative Store is your specialist recruitment agency – For all your Developer Jobs. Great Jobs. Great People. www.thecreativestore.co.nz,https://www.seek.co.nz/software-developer-jobs
19,Principal Software Developer,Utilise your strong technical skills and understanding as we continue to build a World Class Software Product.,https://www.seek.co.nz/software-developer-jobs
20,Software Engineer - Operations,Are you an intermediate software engineer looking to work on projects that impact lives globally? Join F&amp;P Healthcare!,https://www.seek.co.nz/software-developer-jobs
21,Software Engineer,"You will provide expert technical and domain expertise to your squad, covering all aspects of Application design build and integration.",https://www.seek.co.nz/software-developer-jobs
22, Software developer -Intermediate , A Fully remote option available for an intermediate Software Developer to join an exciting brand with fantastic company culture. ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
23, Full Stack Software Developer ," Wanted: a Developer who thrives on working from home, located anywhere, flexible hours to manage your own great work/life balance. ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
24, Intermediate Software Developer ," A fantastic opportunity for a proactive, motivated,&nbsp;customer-focussed software developer to join an international software development company. ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
25, Software Developer / Engineer , Are you a Software Developer / Engineer with great collaboration skills looking to join a high performing team? ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
26, Full Stack Software Developer ," Our client is in high growth mode and are looking to add to their Development team. They are leading the way in team engagement, culture &amp; innovation. ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
27, .Net Software Developer ," React, Python, JavaScript, large enterprise projects. Our client seeks a passionate, collaborative full stack developer to join their close-knit team. ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
28, .Net Developer*2 , The role will be working on greenfield projects as well as developing and enchanting existing software solutions from design to unit testing. ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
29, Assistant Systems Developer , The Assistant Systems Developer role requires a systems developer with the ability to work with multiple ‘customers’ across a range of projects. ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
30, Software Developer ," Due to continued growth, our client is seeking experienced Developers keen on a new challenge, with ability to work anywhere across NZ ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
31, Software Developer (Award-winning Tech Company) ," On behalf of our client, The Pond is looking for a proven Senior Software Developer to join a Kiwi-based global software company that... ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
32, Front End Developer - Team Lead ," We’re looking for someone confident with agile practices and constant change, who has been an experienced and proven Front End Developer... ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
33, Lead C#.Net Developer ," A growing company is looking for a Lead C#.Net Software Engineer who wants to be a part of a collaborative, supportive &amp; innovative culture? ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
34, .NET Senior Developer , Platinum Recruitment are working on behalf of our client on the hunt for a Senior .Net Developer for their international team ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
35, Intermediate-Senior Developer , Great opportunity for a Intermediate-Senior Developer to join a leading software company. ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
36, Front End / Back End / Full Stack Development Jobs , Front End / Back End / Full Stack Development Jobs ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
37, CONTRACT React Native Mobile Developer , React Native Mobile developer that can help out? Can start fairly immediately or work part-time a couple of days per week or 10-20 hours? Get in touch ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
38, Senior Developer , Build innovative mobile software using the latest technology and implementing modern software development practices. ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
39, Senior C#.Net Full Stack Developer ," A growing company is looking for a Senior C#.Net&nbsp;Full Stack Developer who wants to be a part of a collaborative, supportive &amp; innovative culture? ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
